Id,Label,connector_guy,cs,bs
0,node 0,0,0.15,0.437635281385
1,node 1,0,0.333333333333,0.0539366883117
2,node 2,1,0.244444444444,0.143656806157
3,node 3,0,0.666666666667,0.0119092712843
4,node 4,0,0.666666666667,0.000631313131313
5,node 5,0,0.5,0.0299873737374
6,node 6,0,0.5,0.0299873737374
7,node 7,0,1.0,0.0
8,node 8,0,0.5,0.0559268278018
9,node 9,0,0.0,0.000847763347763
10,node 10,0,0.666666666667,0.000631313131313
11,node 11,0,0.0,0.0
12,node 12,0,1.0,0.0
13,node 13,0,0.6,0.0458633958634
14,node 14,0,1.0,0.0
15,node 15,0,1.0,0.0
16,node 16,0,1.0,0.0
17,node 17,0,1.0,0.0
18,node 18,0,1.0,0.0
19,node 19,0,0.333333333333,0.0324750481
20,node 20,0,1.0,0.0
21,node 21,0,1.0,0.0
22,node 22,0,1.0,0.0
23,node 23,0,0.4,0.0176136363636
24,node 24,0,0.333333333333,0.0022095959596
25,node 25,0,0.333333333333,0.00384048821549
26,node 26,0,1.0,0.0
27,node 27,0,0.166666666667,0.0223334535835
28,node 28,0,0.333333333333,0.00179473304473
29,node 29,0,0.666666666667,0.00292207792208
30,node 30,0,0.5,0.014411976912
31,node 31,0,0.2,0.138275613276
32,node 32,0,0.19696969697,0.145247113997
33,node 33,0,0.110294117647,0.30407497595
